time,pdr_x,pdr_y
391831.059,82.88887867473011,-23.396952045690103
391831.098,82.88887867473011,-23.396952045690103
391831.138,82.88887867473011,-23.396952045690103
391831.178,82.88887867473011,-23.396952045690103
391831.218,82.88887867473011,-23.396952045690103
391831.258,82.88887867473011,-23.396952045690103
391831.298,82.88887867473011,-23.396952045690103
391831.338,82.88887867473011,-23.396952045690103
391831.378,82.88887867473011,-23.396952045690103
391831.418,82.88887867473011,-23.396952045690103
391831.458,82.41072910183856,-23.22763231374492
391831.498,82.41072910183856,-23.22763231374492
391831.538,82.41072910183856,-23.22763231374492
391831.578,82.41072910183856,-23.22763231374492
391831.618,82.41072910183856,-23.22763231374492
391831.658,82.41072910183856,-23.22763231374492
391831.698,82.41072910183856,-23.22763231374492
391831.738,82.41072910183856,-23.22763231374492
391831.777,82.41072910183856,-23.22763231374492
391831.817,82.41072910183856,-23.22763231374492
391831.857,82.41072910183856,-23.22763231374492
391831.897,82.41072910183856,-23.22763231374492
391831.937,82.41072910183856,-23.22763231374492
391831.977,81.74363126322491,-22.982253991019
391832.017,81.74363126322491,-22.982253991019
391832.057,81.74363126322491,-22.982253991019
391832.098,81.74363126322491,-22.982253991019
391832.138,81.74363126322491,-22.982253991019
391832.178,81.74363126322491,-22.982253991019
391832.218,81.74363126322491,-22.982253991019
391832.258,81.74363126322491,-22.982253991019
391832.298,81.74363126322491,-22.982253991019
391832.338,81.74363126322491,-22.982253991019
391832.378,81.74363126322491,-22.982253991019
391832.418,81.74363126322491,-22.982253991019
391832.458,81.74363126322491,-22.982253991019
391832.498,81.07089872944688,-22.752774175908
391832.538,81.07089872944688,-22.752774175908
391832.578,81.07089872944688,-22.752774175908
391832.618,81.07089872944688,-22.752774175908
391832.658,81.07089872944688,-22.752774175908
391832.697,81.07089872944688,-22.752774175908
391832.737,81.07089872944688,-22.752774175908
391832.777,81.07089872944688,-22.752774175908
391832.817,81.07089872944688,-22.752774175908
391832.857,81.07089872944688,-22.752774175908
391832.897,81.07089872944688,-22.752774175908
391832.937,81.07089872944688,-22.752774175908
391832.977,81.07089872944688,-22.752774175908
391833.017,80.3920043012496,-22.54222156274573
391833.057,80.3920043012496,-22.54222156274573
391833.097,80.3920043012496,-22.54222156274573
391833.137,80.3920043012496,-22.54222156274573
391833.177,80.3920043012496,-22.54222156274573
391833.217,80.3920043012496,-22.54222156274573
391833.257,80.3920043012496,-22.54222156274573
391833.297,80.3920043012496,-22.54222156274573
391833.337,80.3920043012496,-22.54222156274573
